Order ID,Customer ID,Customer Country,Order Datetime,Order Source,Sales POC,Order Value
628608,1060,India,01-01-2023 00:44,App,Michael Donnermeyer,89
978518,1078,Australia,01-01-2023 01:04,Website,Martine Rance,448
1218028,1649,USA,01-01-2023 01:04,Website,Diego Freyre,3119
1307458,122,Spain,01-01-2023 01:31,Whatsapp,Georg Pipps,943
570816,1266,USA,01-01-2023 02:58,Website,Sean Connery,1195
1480900,866,Singapore,02-01-2023 00:12,App,Kwai Yu,2284
1077723,868,Switzerland,02-01-2023 00:24,Whatsapp,Paolo Accorti,3711
1648180,993,Finland,02-01-2023 00:28,App,Valarie Nelson,4526
1462009,1803,Spain,02-01-2023 00:35,Whatsapp,Valarie Nelson,5184
194632,1962,USA,02-01-2023 00:40,App,Valarie Nelson,8267
61005,480,Finland,02-01-2023 00:46,Other,Marta Hernandez,7727
824383,1728,France,02-01-2023 00:48,Website,Pirkko Koskitalo,66
804031,1267,Italy,02-01-2023 01:19,Other,Arnold Cruz,9935
1265339,1916,Switzerland,02-01-2023 01:49,Website,Diego Freyre,5272
322784,132,Spain,02-01-2023 23:21,Whatsapp,Valarie Young,5201
725371,634,USA,02-01-2023 23:37,Website,Henriette Pfalzheim,7071
471886,1583,Singapore,02-01-2023 23:40,Whatsapp,Valarie Nelson,4072
1399773,1990,USA,03-01-2023 00:04,Other,Mart¡n Sommer,6970
38242,1131,Australia,03-01-2023 00:29,Whatsapp,Juri Hirano,9299
1234676,972,France,03-01-2023 00:39,App,Diego Freyre,9851
457958,690,Germany,03-01-2023 00:44,Other,Jytte Petersen,2923
464722,1215,USA,03-01-2023 01:01,Whatsapp,Jose Pedro Roel,7137
1240058,1665,Switzerland,03-01-2023 01:15,App,Valarie Nelson,1633
1330979,546,USA,03-01-2023 23:33,App,Valarie Young,4461
510910,1461,USA,03-01-2023 23:34,Whatsapp,Julie Brown,1323
1288824,912,USA,04-01-2023 00:03,App,Palle Ibsen,8079
354439,1014,India,04-01-2023 00:29,Other,Sue King,2885
1432252,286,USA,04-01-2023 00:44,Whatsapp,Juri Hirano,4443
942316,608,Denmark,04-01-2023 00:48,Whatsapp,Sue Frick,455
647292,1553,France,04-01-2023 00:48,Whatsapp,Daniel Tonini,8207
202315,1518,USA,04-01-2023 01:45,Whatsapp,Michael Chandler,6344
1268060,1316,Australia,04-01-2023 01:50,Whatsapp,Georg Pipps,3876
1584433,1648,Germany,04-01-2023 01:51,Website,Juri Yoshido,1991
1041039,1826,Italy,04-01-2023 23:17,Whatsapp,Peter Ferguson,7801
817610,493,USA,04-01-2023 23:36,Website,Catherine Dewey,4047
220733,1875,France,05-01-2023 00:11,Other,Maria Larsson,6006
1362369,230,USA,05-01-2023 01:01,Other,Victoria Ashworth,9795
1440438,531,USA,05-01-2023 01:09,Website,Maurizio Moroni,1288
85703,142,India,05-01-2023 23:47,App,Jonas Bergulfsen,3427
660830,1404,USA,06-01-2023 00:01,Whatsapp,Jesus Fernandez,7643
1506022,949,Norway,06-01-2023 00:29,Whatsapp,Sue Taylor,8624
624499,1290,USA,06-01-2023 00:40,Other,Annette Roulet,4403
60770,1934,Spain,06-01-2023 00:47,App,Julie King,7606
899739,842,France,06-01-2023 00:48,App,Valarie Nelson,3937
1294009,538,India,06-01-2023 01:46,Other,Sue King,4279
837592,1839,Germany,06-01-2023 01:53,App,Valarie Nelson,4917
611594,827,Singapore,07-01-2023 00:06,Website,Kyung Tseng,4635
1331311,106,Australia,07-01-2023 00:48,Whatsapp,Diego Freyre,1909
1182759,722,USA,07-01-2023 01:06,Website,Palle Ibsen,2645
1291973,461,Australia,07-01-2023 01:23,Other,Diego Freyre,5976
1466316,122,Spain,07-01-2023 01:51,Whatsapp,Kyung Yu,1672
672076,27,USA,07-01-2023 22:29,Other,Diego Freyre,9162
1299122,220,Australia,07-01-2023 23:19,Website,Sue Frick,9458
424517,870,India,08-01-2023 00:38,App,Valarie Nelson,2515
